Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/api/breed/komondor/images/random,1,0,52.4744987487793,52.4744987487793,52.4744987487793,52.4744987487793,95.0,0.004194985433433807,0.0,52,52,52,52,52,52,52,52,52,52,52,52
GET,/api/breed/komondor/images/random/37,1,0,47.47891426086426,47.47891426086426,47.47891426086426,47.47891426086426,2433.0,0.004194985433433807,0.0,47,47,47,47,47,47,47,47,47,47,47,47
GET,/api/breed/kuvasz/images/random,1,0,92.79274940490723,92.79274940490723,92.79274940490723,92.79274940490723,93.0,0.004194985433433807,0.0,93,93,93,93,93,93,93,93,93,93,93,93
GET,/api/breed/kuvasz/images/random/31,1,0,51.949501037597656,51.949501037597656,51.949501037597656,51.949501037597656,1979.0,0.004194985433433807,0.0,52,52,52,52,52,52,52,52,52,52,52,52
GET,/api/breed/labrador/images/random,2,0,54.35466766357422,58.67743492126465,54.35466766357422,63.00020217895508,95.0,0.008389970866867614,0.0,63,63,63,63,63,63,63,63,63,63,63,63
GET,/api/breed/labrador/images/random/17,1,0,55.94372749328613,55.94372749328613,55.94372749328613,55.94372749328613,1136.0,0.004194985433433807,0.0,56,56,56,56,56,56,56,56,56,56,56,56
GET,/api/breed/leonberg/images,1,0,56.557416915893555,56.557416915893555,56.557416915893555,56.557416915893555,13628.0,0.004194985433433807,0.0,57,57,57,57,57,57,57,57,57,57,57,57
GET,/api/breed/leonberg/images/random/50,1,0,57.14106559753418,57.14106559753418,57.14106559753418,57.14106559753418,3272.0,0.004194985433433807,0.0,57,57,57,57,57,57,57,57,57,57,57,57
GET,/api/breed/lhasa/images/random/38,1,0,56.061506271362305,56.061506271362305,56.061506271362305,56.061506271362305,2396.0,0.004194985433433807,0.0,56,56,56,56,56,56,56,56,56,56,56,56
GET,/api/breed/lhasa/images/random/60,1,0,162.01496124267578,162.01496124267578,162.01496124267578,162.01496124267578,3774.0,0.004194985433433807,0.0,160,160,160,160,160,160,160,160,160,160,160,160
GET,/api/breed/malamute/images/random,2,0,48,58.897972106933594,47.98460006713867,69.81134414672852,95.5,0.008389970866867614,0.0,70,70,70,70,70,70,70,70,70,70,70,70
GET,/api/breed/malamute/images/random/56,1,0,55.04345893859863,55.04345893859863,55.04345893859863,55.04345893859863,3702.0,0.004194985433433807,0.0,55,55,55,55,55,55,55,55,55,55,55,55
GET,/api/breed/malinois/images/random,1,0,56.929588317871094,56.929588317871094,56.929588317871094,56.929588317871094,95.0,0.004194985433433807,0.0,57,57,57,57,57,57,57,57,57,57,57,57
GET,/api/breed/malinois/images/random/56,1,0,57.05857276916504,57.05857276916504,57.05857276916504,57.05857276916504,3673.0,0.004194985433433807,0.0,57,57,57,57,57,57,57,57,57,57,57,57
